"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	10	12337	Unreliable
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	10	11169	Unreliable
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	17	12612	Unreliable
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	11346	Unreliable
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	11	11668	Unreliable
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	10	12306	Unreliable
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	16	12587	Unreliable
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	20	11408	175.3
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	17	11278	Unreliable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	11	10123	Unreliable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	22	12703	173.2
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	14	12465	Unreliable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	19	11600	Unreliable
