"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	13	13433	Unreliable
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	17	11136	Unreliable
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	11	13262	Unreliable
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	12	12601	Unreliable
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	17	12591	Unreliable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	14	115503	Unreliable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	21	112712	18.6
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	24	109544	21.9
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	29	113553	25.5
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	14	118404	Unreliable
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	49	120114	40.8
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	35	120462	29.1
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	37	115796	32.0
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	34	110418	30.8
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	31	116180	26.7
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	17	114945	Unreliable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	24	113966	21.1
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	30	109371	27.4
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	29	115276	25.2
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	11	117859	Unreliable
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	36	121266	29.7
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	34	119658	28.4
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	45	117292	38.4
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	28	110002	25.5
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	42	117332	35.8
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	20	115815	17.3
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	16	115766	Unreliable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	18	115879	Unreliable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	29	110293	26.3
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	28	115801	24.2
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	19	118147	Unreliable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	38	120777	31.5
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	34	121868	27.9
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	35	119151	29.4
